349,115
17,360
268,63
48,323
106,351
1,400
365,277
370,64
241,136
317,149
6,354
63,354
272,169
248,31
379,141
310,359
303,90
204,353
21,181
139,197
190,356
278,80
32,113
256,385
130,308
82,179
353,354
318,277
146,158
133,259
124,235
297,336
391,278
303,47
154,69
222,238
30,291
1,88
160,181
349,221
270,207
357,236
160,206
134,242
297,129
12,361
135,368
103,109
210,230
83,41
270,292
197,164
385,81
89,82
278,392
63,114
347,221
33,346
350,203
225,335
305,105
362,212
282,290
223,289
37,32
197,226
104,352
161,265
187,400
122,303
399,168
303,107
364,375
299,312
86,273
319,6
81,319
317,226
146,365
278,191
316,226
259,277
39,103
382,110
128,69
93,310
295,376
232,113
46,122
288,56
247,235
23,281
163,61
398,102
246,129
101,16
111,33
11,377
186,240
175,385
314,278
377,0
217,247
329,363
194,24
348,12
256,134
359,177
265,212
90,282
45,1
138,206
124,160
219,216
194,59
48,161
160,394
8,50
182,393
187,336
191,2
339,86
233,77
98,399
26,255
369,65
98,216
87,80
256,226
28,359
23,347
371,382
358,383
202,115
211,155
233,289
262,168
278,26
364,258
83,219
278,400
159,349
283,390
329,70
177,186
233,18
0,324
133,87
253,163
133,233
119,64
36,311
264,99
3,250
59,19
175,50
73,285
371,29
308,72
133,152
89,268
104,165
353,359
361,39
259,364
279,148
208,234
122,33
195,277
112,54
298,293
87,349
236,47
189,212
292,222
286,245
322,171
339,88
307,359
265,0
81,147
112,310
215,375
241,136
68,107
339,328
36,165
309,303
157,39
330,85
49,324
10,90
288,312
201,282
290,9
356,210
248,144
56,30
195,385
217,393
396,222
242,194
275,297
392,396
197,229
350,179
240,274
278,289
383,193
168,310
158,73
290,164
249,111
57,222
1,43
178,293
117,252
77,304
260,131
26,161
18,105
56,109
83,306
146,331
302,243
10,45
379,106
117,375
6,194
330,378
192,166
25,365
370,255
98,324
132,79
100,43
285,16
182,266
260,192
182,193
73,66
95,364
370,177
265,338
298,390
271,251
223,297
234,152
270,6
74,200
350,134
255,236
385,263
219,39
154,301
122,244
37,97
223,35
289,83
298,151
166,124
195,208
23,316
77,186
58,51
269,302
118,1
398,25
228,356
391,239
41,4
148,371
145,126
288,316
16,54
281,45
279,355
119,110
4,298
271,341
241,104
345,141
331,151
104,53
387,16
336,75
292,116
273,331
330,88
179,356
196,355
229,152
67,142
260,361
32,50
42,267
75,164
99,377
125,126
388,278
250,164
184,184
378,72
399,368
29,350
180,0
27,48
210,262
253,111
30,16
177,367
68,224
29,169
382,20
63,93
384,259
17,334
387,84
272,347
44,191
369,168
276,379
377,21
129,199
88,316
243,231
213,287
83,224
223,103
48,353
126,315
331,20
333,244
328,189
321,270
163,23
258,61
61,93
397,203
253,85
4,390
353,61
36,148
172,270
41,144
282,335
307,46
58,392
123,245
219,30
73,27
222,115
26,2
92,270
359,369
342,41
61,49
112,307
269,302
112,29
3,49
51,4
79,171
342,259
143,233
54,159
276,346
173,345
82,361
300,158
61,276
62,257
94,83
326,20
392,42
27,159
260,95
76,265
190,170
263,159
76,139
348,167
366,64
249,95
282,370
291,40
84,72
312,307
191,269
127,263
125,159
98,144
108,227
30,317
344,24
70,285
283,383
378,189
204,9
220,227
61,272
36,2
40,92
73,333
253,187
350,286
263,335
278,371
269,261
370,399
227,295
184,161
102,370
224,108
218,328
245,340
164,34
199,85
26,189
337,251
108,7
367,14
207,276
154,209
363,253
56,255
66,154
321,211
80,385
115,316
310,158
5,327
6,313
61,8
157,80
229,190
187,396
56,186
372,300
216,63
165,0
16,30
281,135
90,40
161,374
9,366
275,40
141,257
171,351
318,283
304,382
271,122
103,101
152,321
150,374
108,143
73,131
148,163
102,149
93,28
275,333
82,268
327,34
213,372
320,62
61,333
313,224
135,166
358,323
128,99
302,176
278,51
42,99
280,242
23,295
37,186
38,352
177,346
127,384
4,200
63,192
146,253
135,119
299,96
230,216
166,103
3,164
258,328
391,33
299,178
309,160
337,365
242,394
162,305
343,145
178,192
148,233
329,386
112,32
159,145
219,162
170,3
375,33
197,275
254,301
220,285
214,260
122,150
37,274
134,268
65,37
126,20
141,318
273,223
221,250
289,18
192,7
196,237
84,4
307,318
205,127
369,168
340,101
48,348
380,12
13,259
162,94
141,146
211,313
238,397
18,24
333,236
274,219
85,210
80,176
363,177
259,255
11,326
57,163
373,327
122,117
190,132
59,23
234,180
128,281
383,135
61,108
380,341
343,137
222,51
239,303
106,150
311,75
290,2
164,322
47,181
15,291
205,30
57,288
331,56
301,382
98,307
145,128
190,373
374,382
328,265
83,76
15,267
4,39
61,343
320,234
319,139
392,255
201,253
397,9
